# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.0.0 Build 614 04/24/2018 SJ Lite Edition
# File: D:\Gits\Proyecto-MP3-Empotrados-2025\Quartus\output_files\NIOS_PC.csv
# Generated on: Tue May 20 17:06:27 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
altera_reserved_tck,Input,,,,PIN_AC5,,,,,,,,,,,,,,
altera_reserved_tdi,Input,,,,PIN_U8,,,,,,,,,,,,,,
altera_reserved_tdo,Output,,,,PIN_AB9,,,,,,,,,,,,,,
altera_reserved_tms,Input,,,,PIN_V9,,,,,,,,,,,,,,
buttons_export_export[2],Input,PIN_Y16,3B,B3B_N0,PIN_AK4,,,,,,,,,,,,,,
buttons_export_export[1],Input,PIN_W15,3B,B3B_N0,PIN_AD14,,,,,,,,,,,,,,
buttons_export_export[0],Input,PIN_AA15,3B,B3B_N0,PIN_AE14,,,,,,,,,,,,,,
clk_clk,Input,PIN_AF14,3B,B3B_N0,PIN_AF14,,,,,,,,,,,,,,
pll_vga_locked_export,Output,,,,PIN_AG1,,,,,,,,,,,,,,
reset_reset_n,Input,PIN_AA14,3B,B3B_N0,PIN_AG8,,,,,,,,,,,,,,
seven_seg_export[27],Output,PIN_AB22,5A,B5A_N0,PIN_AF5,,,,,,,,,,,,,,
seven_seg_export[26],Output,PIN_AB25,5A,B5A_N0,PIN_AA12,,,,,,,,,,,,,,
seven_seg_export[25],Output,PIN_AB28,5B,B5B_N0,PIN_AG6,,,,,,,,,,,,,,
seven_seg_export[24],Output,PIN_AC25,5A,B5A_N0,PIN_AF6,,,,,,,,,,,,,,
seven_seg_export[23],Output,PIN_AD25,5A,B5A_N0,PIN_AF9,,,,,,,,,,,,,,
seven_seg_export[22],Output,PIN_AC27,5A,B5A_N0,PIN_AD12,,,,,,,,,,,,,,
seven_seg_export[21],Output,PIN_AD26,5A,B5A_N0,PIN_AH9,,,,,,,,,,,,,,
seven_seg_export[20],Output,PIN_AC30,5B,B5B_N0,PIN_AK6,,,,,,,,,,,,,,
seven_seg_export[19],Output,PIN_AC29,5B,B5B_N0,PIN_AK2,,,,,,,,,,,,,,
seven_seg_export[18],Output,PIN_AD30,5B,B5B_N0,PIN_AJ1,,,,,,,,,,,,,,
seven_seg_export[17],Output,PIN_AC28,5B,B5B_N0,PIN_AH5,,,,,,,,,,,,,,
seven_seg_export[16],Output,PIN_AD29,5B,B5B_N0,PIN_AB12,,,,,,,,,,,,,,
seven_seg_export[15],Output,PIN_AE29,5B,B5B_N0,PIN_AF4,,,,,,,,,,,,,,
seven_seg_export[14],Output,PIN_AB23,5A,B5A_N0,PIN_AF8,,,,,,,,,,,,,,
seven_seg_export[13],Output,PIN_AD27,5A,B5A_N0,PIN_AG5,,,,,,,,,,,,,,
seven_seg_export[12],Output,PIN_AF30,5A,B5A_N0,PIN_AG7,,,,,,,,,,,,,,
seven_seg_export[11],Output,PIN_AF29,5A,B5A_N0,PIN_AA13,,,,,,,,,,,,,,
seven_seg_export[10],Output,PIN_AG30,5A,B5A_N0,PIN_AD7,,,,,,,,,,,,,,
seven_seg_export[9],Output,PIN_AH30,5A,B5A_N0,PIN_AH4,,,,,,,,,,,,,,
seven_seg_export[8],Output,PIN_AH29,5A,B5A_N0,PIN_AE7,,,,,,,,,,,,,,
seven_seg_export[7],Output,PIN_AJ29,5A,B5A_N0,PIN_AG10,,,,,,,,,,,,,,
seven_seg_export[6],Output,PIN_AH28,5A,B5A_N0,PIN_AB13,,,,,,,,,,,,,,
seven_seg_export[5],Output,PIN_AG28,5A,B5A_N0,PIN_AH3,,,,,,,,,,,,,,
seven_seg_export[4],Output,PIN_AF28,5A,B5A_N0,PIN_AG11,,,,,,,,,,,,,,
seven_seg_export[3],Output,PIN_AG27,5A,B5A_N0,PIN_AG2,,,,,,,,,,,,,,
seven_seg_export[2],Output,PIN_AE28,5A,B5A_N0,PIN_AJ2,,,,,,,,,,,,,,
seven_seg_export[1],Output,PIN_AE27,5A,B5A_N0,PIN_AC12,,,,,,,,,,,,,,
seven_seg_export[0],Output,PIN_AE26,5A,B5A_N0,PIN_AH2,,,,,,,,,,,,,,
switchs_export[2],Input,PIN_AF9,3A,B3A_N0,PIN_AC23,,,,,,,,,,,,,,
switchs_export[1],Input,PIN_AC12,3A,B3A_N0,PIN_AF13,,,,,,,,,,,,,,
switchs_export[0],Input,PIN_AB12,3A,B3A_N0,PIN_AF11,,,,,,,,,,,,,,
vga_controller_B[7],Output,PIN_J14,8A,B8A_N0,PIN_AF16,,,,,,,,,,,,,,
vga_controller_B[6],Output,PIN_G15,8A,B8A_N0,PIN_AH13,,,,,,,,,,,,,,
vga_controller_B[5],Output,PIN_F15,8A,B8A_N0,PIN_AH10,,,,,,,,,,,,,,
vga_controller_B[4],Output,PIN_H14,8A,B8A_N0,PIN_AJ21,,,,,,,,,,,,,,
vga_controller_B[3],Output,PIN_F14,8A,B8A_N0,PIN_AG20,,,,,,,,,,,,,,
vga_controller_B[2],Output,PIN_H13,8A,B8A_N0,PIN_AH8,,,,,,,,,,,,,,
vga_controller_B[1],Output,PIN_G13,8A,B8A_N0,PIN_AB15,,,,,,,,,,,,,,
vga_controller_B[0],Output,PIN_B13,8A,B8A_N0,PIN_AJ20,,,,,,,,,,,,,,
vga_controller_BLANK,Output,PIN_F10,8A,B8A_N0,PIN_AJ5,,,,,,,,,,,,,,
vga_controller_CLK,Output,PIN_A11,8A,B8A_N0,PIN_AC14,,,,,,,,,,,,,,
vga_controller_G[7],Output,PIN_E11,8A,B8A_N0,PIN_AA15,,,,,,,,,,,,,,
vga_controller_G[6],Output,PIN_F11,8A,B8A_N0,PIN_AK11,,,,,,,,,,,,,,
vga_controller_G[5],Output,PIN_G12,8A,B8A_N0,PIN_AJ11,,,,,,,,,,,,,,
vga_controller_G[4],Output,PIN_G11,8A,B8A_N0,PIN_AF15,,,,,,,,,,,,,,
vga_controller_G[3],Output,PIN_G10,8A,B8A_N0,PIN_AJ9,,,,,,,,,,,,,,
vga_controller_G[2],Output,PIN_H12,8A,B8A_N0,PIN_AK13,,,,,,,,,,,,,,
vga_controller_G[1],Output,PIN_J10,8A,B8A_N0,PIN_AG15,,,,,,,,,,,,,,
vga_controller_G[0],Output,PIN_J9,8A,B8A_N0,PIN_AH7,,,,,,,,,,,,,,
vga_controller_HS,Output,PIN_B11,8A,B8A_N0,PIN_AE13,,,,,,,,,,,,,,
vga_controller_R[7],Output,PIN_F13,8A,B8A_N0,PIN_AJ14,,,,,,,,,,,,,,
vga_controller_R[6],Output,PIN_E12,8A,B8A_N0,PIN_AA14,,,,,,,,,,,,,,
vga_controller_R[5],Output,PIN_D12,8A,B8A_N0,PIN_AF19,,,,,,,,,,,,,,
vga_controller_R[4],Output,PIN_C12,8A,B8A_N0,PIN_AJ10,,,,,,,,,,,,,,
vga_controller_R[3],Output,PIN_B12,8A,B8A_N0,PIN_AK9,,,,,,,,,,,,,,
vga_controller_R[2],Output,PIN_E13,8A,B8A_N0,PIN_AH12,,,,,,,,,,,,,,
vga_controller_R[1],Output,PIN_C13,8A,B8A_N0,PIN_AK12,,,,,,,,,,,,,,
vga_controller_R[0],Output,PIN_A13,8A,B8A_N0,PIN_AH15,,,,,,,,,,,,,,
vga_controller_SYNC,Output,PIN_C10,8A,B8A_N0,PIN_AK3,,,,,,,,,,,,,,
vga_controller_VS,Output,PIN_D11,8A,B8A_N0,PIN_AH14,,,,,,,,,,,,,,
